facility_row_order,dc_id,facility_name_market_page,facility_name_detail_page,market_name_market_page,market_name_detail_page,market_slug,operator_market_page,company_name_detail_page,operator_final,street_address_market_page,street_address_detail_page,postal_detail_page,city_detail_page,country_detail_page,listing_type,capacity_type,status_code,status_label,stage_code,stage_label,latitude,longitude,description,tags,detail_url,market_url,market_listed_count,has_coordinates,kommunkod,lanskod,kommunnamn,lansnamn,east_3006,north_3006
1,1109,Esbogatan 11 (STO1),Esbogatan 11 (STO1),Stockholm,Stockholm,stockholm,Digital Realty,Digital Realty,Digital Realty,Esbogatan 11,Esbogatan 11,16474,Kista,Sweden,Facility,Colocation,1,active,2,operational,59.421911,17.917702,"Previously known as Interxion STO1. Interxion was acquired by Digital Realty in 2022 and rebranded its data centers to the Digital Realty brand in 2022.

Interxion STO1 is conveniently located 15km north of Stockholm in Kista, the centre of Sweden's ICT industry.

Interxion offers:
- A growing community of carriers, ISPs, Internet Exchanges and other connectivity partners helps you reduce the cost of network access and improve performance
- Access to the major carriers and ISPs and direct access to the Swedish Internet Exchange, Netnod
- Dual-entry fibre and SLA-based cross connects

Interxion provides managed power with in-built resilience, allowing extra equipment to be added without outage. Features include:
- N+1 UPS redundancy
- A full range of AC and DC output currents
- High density power configuration
- N+1 backup generators supporting 36 hours at full capacity with high-speed refuelling
- Up to 99.999% availability SLAs on power

Interxion data centres typically have five layers of physical security with trained security staff on site 24/7 and ISO and BS certified for information security management systems.
The facility has world-class protection against fire through fire-retardant walls, early warning laser smoke detectors (VESDA), direct lines to fire stations, and automatic gas-based fire suppression systems.
All equipment is maintained and monitored in a climate-controlled environment 24/7 and there are SLAs on temperature and humidity in line with ASHRAE recommendations.

Interxion is committed to the use of sustainable energy such as free cooling, remote sea water cooling and waste heat re-use. Interxion's Stockholm facilities use 100% renewable energy. When sea water cooling was implemented in our Stockholm data centre in January 2009, it was one of the first seawater cooling systems in the world used to cool a data centre.
This data centre now operates at an exceptionally low and constant PUE, and is not subject to PUE fluctuations caused by an increase in energy to power the chillers during a hot summer.


Finance Community
Interxion is a specialist provider of colocation and proximity hosting to the financial services market. Interxion&#39;s financial community hosts a growing number of capital market participants, including investment firms, high-frequency trading firms, hedge funds, brokers and banks.
They benefit from the presence of financial services providers, including leading vendors of market data, DMA and sponsored access, low latency connectivity, leading-edge technology and clearing services.
Interxion provides connectivity to the Burgundy Exchange, Nordics Derivatives Exchange, Nasdaq OMX, and other financial centres such as London, Frankfurt and Zurich.
Data centre customers benefit from over 45 network providers of low-latency connectivity, as well as a Test Lab.
",,https://www.datacentermap.com/sweden/stockholm/interxion-akalla/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,665538.9,6590663.5
2,8428,Esbogatan 11 (STO5),Esbogatan 11 (STO5),Stockholm,Stockholm,stockholm,Digital Realty,Digital Realty,Digital Realty,Esbogatan 11,Esbogatan 11,16474,Kista,Sweden,Facility,Colocation,1,active,2,operational,59.421911,17.917702,Previously known as Interxion STO5. Interxion was acquired by Digital Realty in 2022 and rebranded its data centers to the Digital Realty brand in 2022.,,https://www.datacentermap.com/sweden/stockholm/interxion-sto5/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,665538.9,6590663.5
3,8427,Esbogatan 11 (STO4),Esbogatan 11 (STO4),Stockholm,Stockholm,stockholm,Digital Realty,Digital Realty,Digital Realty,Esbogatan 11,Esbogatan 11,16474,Kista,Sweden,Facility,Colocation,1,active,2,operational,59.421911,17.917702,Previously known as Interxion STO4. Interxion was acquired by Digital Realty in 2022 and rebranded its data centers to the Digital Realty brand in 2022.,,https://www.datacentermap.com/sweden/stockholm/interxion-sto4/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,665538.9,6590663.5
4,5617,Esbogatan 11 (STO3),Esbogatan 11 (STO3),Stockholm,Stockholm,stockholm,Digital Realty,Digital Realty,Digital Realty,Esbogatan 11,Esbogatan 11,16474,Kista,Sweden,Facility,Colocation,1,active,2,operational,59.421911,17.917702,"Previously known as Interxion STO3. Interxion was acquired by Digital Realty in 2022 and rebranded its data centers to the Digital Realty brand in 2022.

Interxion STO3 is conveniently located 15km north of Stockholm in Kista, the centre of Sweden's ICT industry.

Interxion offers:
- A growing community of carriers, ISPs, Internet Exchanges and other connectivity partners helps you reduce the cost of network access and improve performance
- Access to the major carriers and ISPs and direct access to the Swedish Internet Exchange, Netnod
- Dual-entry fibre and SLA-based cross connects

Interxion provides managed power with in-built resilience, allowing extra equipment to be added without outage. Features include:
- N+1 UPS redundancy
- A full range of AC and DC output currents
- High density power configuration
- N+1 backup generators supporting 36 hours at full capacity with high-speed refuelling
- Up to 99.999% availability SLAs on power

Interxion data centres typically have five layers of physical security with trained security staff on site 24/7 and ISO and BS certified for information security management systems.
The facility has world-class protection against fire through fire-retardant walls, early warning laser smoke detectors (VESDA), direct lines to fire stations, and automatic gas-based fire suppression systems.
All equipment is maintained and monitored in a climate-controlled environment 24/7 and there are SLAs on temperature and humidity in line with ASHRAE recommendations.

Interxion is committed to the use of sustainable energy such as free cooling, remote sea water cooling and waste heat re-use. Interxion's Stockholm facilities use 100% renewable energy. When sea water cooling was implemented in our Stockholm data centre in January 2009, it was one of the first seawater cooling systems in the world used to cool a data centre.
This data centre now operates at an exceptionally low and constant PUE, and is not subject to PUE fluctuations caused by an increase in energy to power the chillers during a hot summer.


Finance Community
Interxion is a specialist provider of colocation and proximity hosting to the financial services market. Interxion&#39;s financial community hosts a growing number of capital market participants, including investment firms, high-frequency trading firms, hedge funds, brokers and banks.
They benefit from the presence of financial services providers, including leading vendors of market data, DMA and sponsored access, low latency connectivity, leading-edge technology and clearing services.
Interxion provides connectivity to the Burgundy Exchange, Nordics Derivatives Exchange, Nasdaq OMX, and other financial centres such as London, Frankfurt and Zurich.
Data centre customers benefit from over 45 network providers of low-latency connectivity, as well as a Test Lab.",,https://www.datacentermap.com/sweden/stockholm/interxion-sto3/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,665538.9,6590663.5
5,5616,Esbogatan 11 (STO2),Esbogatan 11 (STO2),Stockholm,Stockholm,stockholm,Digital Realty,Digital Realty,Digital Realty,Esbogatan 11,Esbogatan 11,16474,Kista,Sweden,Facility,Colocation,1,active,2,operational,59.421911,17.917702,"Previously known as Interxion STO2. Interxion was acquired by Digital Realty in 2022 and rebranded its data centers to the Digital Realty brand in 2022.

Interxion STO2 is conveniently located 15km north of Stockholm in Kista, the centre of Sweden's ICT industry.

Interxion STO2 offers:
- A growing community of carriers, ISPs, Internet Exchanges and other connectivity partners helps you reduce the cost of network access and improve performance
- Access to the major carriers and ISPs and direct access to the Swedish Internet Exchange, Netnod
- Dual-entry fibre and SLA-based cross connects

Interxion provides managed power with in-built resilience, allowing extra equipment to be added without outage. Features include:
- N+1 UPS redundancy
- A full range of AC and DC output currents
- High density power configuration
- N+1 backup generators supporting 36 hours at full capacity with high-speed refuelling
- Up to 99.999% availability SLAs on power

Interxion data centres typically have five layers of physical security with trained security staff on site 24/7 and ISO and BS certified for information security management systems.
The facility has world-class protection against fire through fire-retardant walls, early warning laser smoke detectors (VESDA), direct lines to fire stations, and automatic gas-based fire suppression systems.
All equipment is maintained and monitored in a climate-controlled environment 24/7 and there are SLAs on temperature and humidity in line with ASHRAE recommendations.

Interxion is committed to the use of sustainable energy such as free cooling, remote sea water cooling and waste heat re-use. Stockholm facilities use 100% renewable energy, when sea water cooling was implemented in our Stockholm data centre in January 2009 it was one of the first seawater cooling systems in the world used to cool a data centre.
This data centre now operates at an exceptionally low and constant PUE, and is not subject to PUE fluctuations caused by an increase in energy to power the chillers during a hot summer.


Finance Community
Interxion is a specialist provider of colocation and proximity hosting to the financial services market. Interxion's financial community hosts a growing number of capital market participants, including investment firms, high-frequency trading firms, hedge funds, brokers and banks.
They benefit from the presence of financial services providers, including leading vendors of market data, DMA and sponsored access, low latency connectivity, leading-edge technology and clearing services.
Interxion provides connectivity to the Burgundy Exchange, Nordics Derivatives Exchange, Nasdaq OMX, and other financial centres such as London, Frankfurt and Zurich.
Data centre customers benefit from over 45 network providers of low-latency connectivity, as well as a Test Lab.
",,https://www.datacentermap.com/sweden/stockholm/interxion-sto2/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,665538.9,6590663.5
6,8429,Vandagatan 3 (STO6),Vandagatan 3 (STO6),Stockholm,Stockholm,stockholm,Digital Realty,Digital Realty,Digital Realty,Vandagatan 3,Vandagatan 3,16474,Kista,Sweden,Facility,Colocation,1,active,2,operational,59.421066,17.915462,Previously known as Interxion STO6. Interxion was acquired by Digital Realty in 2022 and rebranded its data centers to the Digital Realty brand in 2022.,,https://www.datacentermap.com/sweden/stockholm/interxion-sto6/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,665416.0,6590563.9
7,1287,CityHosting KV108 DC1,CityHosting KV108 DC1,Stockholm,Stockholm,stockholm,City Hosting Sweden AB,City Hosting Sweden AB,City Hosting Sweden AB,Karlavägen 108,Karlavägen 108,10451,Stockholm,Sweden,Facility,Colocation,1,active,2,operational,59.33555,18.099257,"City Hosting provides cheap and good hosting.

- We can provide from single 1U rack space to multiple racks.
- We can provide transit (no BGP announcement fees) or you can bring your own transit, or both.
- No cross-connect costs (8x Cat6 copper and 6 pais singlemode fiber in each rack by default)
- DWDM wavelenght(s) to STOKAB KN7 can be provided for access to STOKABs fiber network and LOTS of carriers/ISPs.
",,https://www.datacentermap.com/sweden/stockholm/interoute-stockholm/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,676282.7,6581519.3
8,11998,CityHosting KV108 DC2,CityHosting KV108 DC2,Stockholm,Stockholm,stockholm,City Hosting Sweden AB,City Hosting Sweden AB,City Hosting Sweden AB,Karlavägen 106,Karlavägen 106,10451,Stockholm,Sweden,Facility,Colocation,1,active,2,operational,59.335887,18.098136,"City Hosting provides cheap and good hosting.
We can provide from single 1U rack space to multiple racks.
No cross-connect costs (8x Cat6 copper and 6 pais singlemode fiber in each rack by default)
We can provide transit (no BGP announcement fees) or you can bring your own transit, or both.
DWDM wavelenght(s) to STOKAB KN7 can be provided for access to STOKABs fiber network and LOTS of carriers/ISPs.
",,https://www.datacentermap.com/sweden/stockholm/cityhosting-kv108-dc2/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,676217.3,6581553.8
9,8131,Conapto Stockholm 3 North,Conapto Stockholm 3 North,Stockholm,Stockholm,stockholm,Conapto AB,Conapto AB,Conapto AB,Bäckvägen 18,Bäckvägen 18,192 54,Sollentuna,Sweden,Facility,Colocation,1,active,2,operational,59.448491,17.957007,"Stockholm 3 North consists of 5 computer rooms, all of which are separate fire cells EI60. The facility consists of 5 computer rooms, has a capacity of 6 MW and a total area of 3 400 sqm. The data center is climate repsonsible with security class 3/resistance class 4 shell protection, runs on renewable energy, heat recovery to district heating and certified Fossil Free Data, ISO 9001, 14001, 27001 as well as PCI/DSS (service provider) and audited ISAE 3402 (SOC 1 type 2).

",,https://www.datacentermap.com/sweden/stockholm/conapto-stockholm-north/,https://www.datacentermap.com/sweden/stockholm/,48,True,163,01,Sollentuna,Stockholms län,667636.4,6593720.0
10,8132,Conapto Stockholm 2 South,Conapto Stockholm 2 South,Stockholm,Stockholm,stockholm,Conapto AB,Conapto AB,Conapto AB,Stensätravägen 13,Stensätravägen 13,127 39,Skärholmen,Sweden,Facility,Colocation,1,active,2,operational,59.283482,17.926,"Stockholm South is a 4 MW and 2000 sqm climate neutral data center with security class 3/resistance class 4 shell protection, runs on renewable energy, heat recovery to district heating and certified Fossil Free Data, ISO 9001, 14001, 27001 as well as PCI/DSS (service provider) and audited ISAE 3402 (SOC 1 type 2).
",,https://www.datacentermap.com/sweden/stockholm/conapto-stockholm-south/,https://www.datacentermap.com/sweden/stockholm/,48,True,126,01,Huddinge,Stockholms län,666687.0,6575278.9
